4,0,-1,11,12,11,17,0,43,0,1021,15,10
4,2,4,11,13,11,21,3,60,0,1019,14,10
4,10,3,11,12,11,21,26,55,0,1017,16,10
2,17,3,7,9,7,17,24,68,0.1,1022,10,10
3,24,3,9,9,9,9,12,66,0,1024,10,10
3,31,5,7,9,7,27,4,73,0,1024,11,10
3,39,8,8,10,8,23,68,88,0.2,1019,12,9
2,46,5,4,8,4,33,83,82,0,1024,9,10
2,53,-2,1,4,1,20,12,63,0,1033,5,10
2,61,0,4,6,4,15,18,63,0,1033,7,10
2,68,3,3,6,3,23,100,81,1.7,1031,7,6
2,75,2,3,6,3,21,64,78,3,1031,9,9
1,82,0,2,5,2,22,78,69,0,1032,6,10
2,90,0,2,5,2,18,19,67,0.1,1032,7,10
2,97,0,4,6,4,14,2,64,0,1034,7,10
3,100,3,6,7,6,13,16,73,0,1029,10,10
2,89,3,8,9,8,9,30,71,0,1027,11,10
3,81,1,4,7,4,20,3,69,0,1034,8,10
3,74,3,7,9,7,15,1,69,0,1030,9,10
2,67,-4,4,7,4,28,17,46,0,1028,11,10
2,59,-8,1,5,1,19,0,42,0,1032,6,10
2,52,-6,5,6,5,8,0,42,0,1031,5,10
3,45,1,4,7,4,24,0,63,0,1024,10,10
3,38,4,8,10,8,35,24,66,0,1018,15,10
3,30,5,9,11,9,33,26,66,0.1,1020,16,10
2,23,0,4,7,4,24,59,61,0,1029,9,10
3,16,3,7,9,7,20,17,68,0,1024,12,10
4,9,5,8,10,8,19,20,72,0,1024,14,10
3,1,8,9,10,9,18,70,88,1.1,1020,12,10
4,0,10,13,14,13,13,16,81,0,1019,17,8
4,0,9,11,13,11,35,19,82,0,1019,17,10
5,6,12,17,18,17,30,18,73,0,1013,24,10
4,14,11,15,15,15,13,15,78,0,1012,17,10
2,21,4,4,8,4,32,83,78,0.1,1018,10,10
2,29,-4,0,4,0,26,31,55,0,1027,6,10
2,36,3,2,6,2,30,94,80,1.2,1023,6,9
2,44,8,6,9,6,28,100,94,5.7,1018,9,7
2,51,4,2,6,2,33,100,89,0.9,1018,7,8
1,59,-1,-1,3,-1,26,65,76,0,1022,6,10
1,66,-2,-3,2,-3,35,89,75,0.5,1026,3,8
1,74,-5,-5,0,-5,34,55,66,0.2,1029,3,9
1,81,-5,-4,1,-4,28,58,66,0,1027,5,10
1,89,1,0,4,0,30,95,79,0.9,1027,6,7
2,97,1,1,5,1,28,83,74,0.4,1029,7,9
2,100,-1,2,5,2,23,45,67,0,1028,8,10
3,88,0,4,6,4,14,23,65,0,1027,9,10
2,81,6,5,8,5,24,76,88,2.3,1023,8,10
2,73,7,5,8,5,30,90,93,0,1021,9,10
1,66,4,0,4,0,32,100,97,3.1,1024,4,9
1,58,1,-1,3,-1,27,76,83,0.7,1027,6,8
2,51,1,4,6,4,17,15,72,0,1031,9,10
3,43,1,5,7,5,15,11,67,0,1031,9,10
2,36,3,4,7,4,22,44,75,0,1029,10,10
3,28,5,7,9,7,18,13,77,0,1029,12,10
2,20,7,7,9,7,23,87,85,2.5,1026,11,9
2,13,9,7,10,7,32,100,97,4.5,1021,10,10
2,5,9,8,10,8,20,91,94,0.2,1022,11,6
3,0,9,10,11,10,10,62,86,0.2,1024,14,7
2,0,7,7,9,7,20,85,91,0,1021,9,10
2,0,5,4,7,4,24,88,88,5.6,1021,8,9
2,2,2,5,7,5,22,45,71,0,1024,11,10
3,9,4,7,9,7,26,36,69,0.3,1024,12,9
2,16,8,8,9,8,16,84,91,1.2,1022,11,9
3,24,2,5,7,5,24,18,71,0,1027,10,10
2,31,0,3,6,3,19,58,67,0.2,1029,7,10
2,38,0,4,7,4,21,32,63,0,1030,10,10
2,46,2,4,6,4,15,82,79,1.8,1026,7,9
3,53,5,9,10,9,10,4,73,0,1027,13,10
3,60,6,8,10,8,15,28,78,0,1028,13,10
